Duygu,TweetMetni
0,"Mutsuzluk, modern şehirlerde yaygın bir sorundur ve bu durumun değişmesi için çaba harcanmalıdır."
0,"Şehirlerdeki kalabalık ve stres, insanların ruh sağlığına olumsuz etki edebilir ve mutsuzluğa neden olabilir."
0,"Şehir hayatında, insanlar genellikle yalnızlık ve boşluk hissiyle karşılaşabilirler."
4,"Kindle2'yi çoooooooooook seviyorum. DX'in de harika olduğunu söylemek gerek, ama 2 kendi başına fantastik!"
4,"Kindle2'mi okuyorum. Seviyorum. Lee Childs iyi bir okuma."
0,"Ürün rengi çok koyu sakın almayın cidden ben pişman oldum elıme bugün ulaştı kargom ama pişmanım cidden resımdekı gibi degıl evet kumaşında veya başka yerımde sorun yok ama rengi aynı degıl daha koyusu sakın almayın sakın benden size uyarı."
4,"Tamam, kindle2'nin ilk değerlendirmesi. Muhteşem olduğunu söylemek yeterli!!!"
2,"Farklı kalabalıkların yaşadığı dertler, genellikle insanların içsel dünyalarındaki çeşitliliği ve çatışmaları yansıtır."
2,"İş zamanı kalabalıklarında ve hafta tatilindeki farklı insan grupları, toplumun genel yapısını ve kültürel çeşitliliği gösterir."
2,"İnsanların bulunduğu konuma bağlı olarak yaşadıkları dertler, genellikle sosyal, ekonomik ve çevresel faktörlerle ilişkilidir."
4,"Kindle2'yi seveceksin. Benim birkaç aydır var ve asla geriye bakmadım. Pişmanlık için hiç gerek yok!"
4,"Yeterince adil. Ama Kindle2'ye sahibim ve mükemmel olduğunu düşünüyorum."
4,"Hayır, çok büyük. Kindle2 ile oldukça mutluyum."
0,"Bu ekonomiye lanet olsun. AIG'yi ve kredi vermeyenleri sevmiyorum."
0,"Kumaş kötü hemen iadeye gönderdim verdim kargoya bu paraya değmez. ama kargoya teslim etmeme rağmen sistemde kargoya verdigimi göremiyorum. Umarım yarın sisteme girilmiş olur"
4,"Jquery benim yeni en iyi arkadaşımdır."
2,"Kindle2'nin ekranı 6 inç boyutunda ve yüksek çözünürlüklü."
4,"Kalitesi çok hoşuma gitti gayet ucuza aldım.Normalde 44 beden giyiyorum 42 aldım bol bile geldi diyebilirim."
2,"Kindle2, E Ink teknolojisi kullanarak göz yorgunluğunu minimize ediyor."
2,"Kindle2'nin dahili depolama alanı 2GB ve binlerce kitabı saklayabiliyor."
0,"iade ettim bol oldu fakat param tam yatmadı ve hiç bir şekilde geri dönüş almadim güzel ürün omuzu dar olanlara tavsiye etmiyorum"
2,"Kindle2'nin bataryası tek şarjda haftalarca kullanım sağlıyor."
2,"Kindle2, WiFi bağlantısıyla kolayca yeni kitaplar indirilebiliyor."
2,"Kindle2, geniş bir yazı tipi ve aydınlatma seçenekleri sunuyor."
4,"Bu gömlekler tam istediğim gibi bi beden büyük aldım bilerek ama mükemmel ya"
4,"Harika rengi duruşu cok guzel 54 kiloyum en kucuk bedenini aldim gayet salas guzel durdu her rengi alinabilir bence"
2,"Kindle2'nin tasarımı ince ve taşıması kolay."
2,"Kindle2'nin fiyatı diğer e-kitap okuyucularla karşılaştırıldığında rekabetçi."
4,"Harika rengi duruşu cok guzel 54 kiloyum en kucuk bedenini aldim gayet salas guzel durdu her rengi alinabilir bence :)"
2,"Kindle2'nin sesli kitap desteği bulunmuyor ancak metin okuma özelliği mevcut."
2,"Kindle2, çeşitli dosya formatlarını destekleyerek geniş bir kullanıcı kitlesine hitap ediyor."
0,"Kindle2'nin ekran kalitesi beni tatmin etmedi, göz yorgunluğu yapıyor."
0,"Kindle2 ile kitap okuma deneyimim pek keyifli olmadı, diğer formatları tercih ederim."
0,"Kindle2'nin fiyatı çok yüksek, özellikleri için bu kadar para vermek mantıklı değil."
0,"Kindle2'yi kullanırken sürekli sorunlar yaşıyorum, sürekli donuyor ve yavaş çalışıyor."
4,"Hep aldığım gömleklerden rengini de çok beğendim. Normalde 44 beden gibi giyiniyorum ama 38 beden güzel oluyor"
0,"Kindle2'nin batarya ömrü beklentilerimi karşılamadı, çok çabuk bitiyor."
4,"Fotoğrafta gözüktüğü gibi güzel. Büyük bedenini aldım 38 giyiyorum normalde 42 aldım gayet güzel düz üstümde tavsiye ederim."
0,"Kindle2'nin ekranı çok küçük, daha büyük bir ekranı tercih ederdim."
0,"Kindle2'nin arayüzü karmaşık ve kullanıcı dostu değil, kullanımı zor."
0,"Kindle2'yi kullanmak benim için bir işkence, sürekli teknik sorunlarla karşılaşıyorum."
0,"Kindle2'nin kılıfı kalitesiz, çabuk yıpranıyor ve koruma sağlamıyor."
4,"Siyah ve mavi aldım ikisi de çok güzel kaliteli alanlar kendi bedenini alsın."
4,"Araba sürücülerinin dikkatlerini yolda tutmaları, güvenliği artırır ve kazaları önler."
4,"Sürücülerin önceliği güvenli sürüş olduğunda, trafikte daha iyi bir deneyim yaşanabilir."
4,"Zencilerin arabaya binerek neşelenmeleri, zaman zaman trafikteki stresi azaltabilir."
0,"Araba sürücülerinin manzaraları izlemek yerine araçlarına odaklanmaları, dikkatsizlikle sonuçlanabilir ve kazalara neden olabilir."
0,"Araba sürücülerinin araçlarından önce başka bir aracı geçmek istemeleri, zaman zaman trafikte hızlı ve tehlikeli manevralara yol açabilir."
0,"Kindle2'yi aldığıma pişman oldum, başka bir cihaz almalıydım."
4,"Obama'yı nasıl sevmezsiniz? Kendi hakkında şakalar yapar."
2,"Araba sürücülerinin başka bir aracı geçmek istemeleri, trafik koşulları ve güvenlik faktörleriyle ilişkilidir."
2,"Zencilerin araba içinde eğlenmeleri, trafikteki genel ruh halini etkileyebilir ancak bazı durumlarda olumsuzluk da yaratabilir."
2,"Bu videoyu izle -- Başkan Obama Beyaz Saray Muhabirler Derneği Yemeği'nde: http://bit.ly/IMXUM"
0,"Obama/Pelosi'nin sivil olmak istemediğine kesinlikle inanıyorum. Bu bir kandırmaca ve slogan, ama muhafazakarlığı yok etmek istiyorlar"
4,"Dün gece Beyaz Saray Muhabirler Derneği yemeğinde Whoopi, Barbara ve Sherri vardı, Obama ayakta alkışlandı."
4,"Espn izliyorum.. Yeni Nike reklamında bir Bebek Lebron var.. şey çok komikti... Çok güldüm!!!"
0,"Sevgili Nike, Flywire'dan vazgeç. o şey bilim için bir israf ve çirkin. Sevgiler."
4,"Rengi mankenin üzerindeki gibi geldi ben 1 benden küçük aldım oversize durmasını istiyorsanız bir beden büyük alabirsiniz..."
4,"Lebron kuşağımızın en iyi sporcu, belki de tüm zamanların en iyisi (basketbol ile ilgili). İç sporlar hakkında tartışmaya girmek istemiyorum."
0,"Dün gece bu adamla konuşuyordum ve bana kendisinin ateşli bir Spurs hayranı olduğunu söyledi. Ayrıca bana LeBron James'i sevmediğini söyledi."
0,"33 liraya alıp gömleği görünce 33 lirama üzüldüm. Şimdi 106 olmuş. Komik!"
0,"Lebron bir canavar, ama ben hala A takımını destekliyorum."
4,"Lebron benim için yerel bir kahraman, Lakers'ı seviyorum ama Cavs'ı destekliyorum."
4,"Hem turuncu hem de bu rengini aldım, m beden giyen biriyim üstte o yüzden 38 aldım, çok salaş değil çok da dar değil. Oversize durmasını isteyenler bence bir beden büyük alabilir."
4,"Lebron ve Zydrunas harika bir ikili!"
4,"Lebron bir canavar. NBA'de kimse ona yaklaşamaz."
4,"iphone için uygulamalar indiriyorum! Çok eğlenceli.Gerçekten hemen hemen her şey için bir uygulama var."
0,"İş zamanı kalabalığında, insanlar genellikle stres, dikkat eksikliği ve rahatsızlık yaşarlar, bu da iletişim ve ilişkilerde zorluklara neden olabilir."
0,"Hafta tatilindeki kalabalıklarda, bazı insanlar arasında gösteriş ve zenginlik yarışı gözlemlenebilir, bu da toplumsal eşitsizlikleri ve yarışmacı bir atmosferi vurgular."
4,"İyi haberler, Visa ofisinden aradılar, her şey yolunda...Ne büyük bir rahatlama! Oradaki dolandırıcılıklardan bıktım! Çalıyorlar!"
4,"Montreal'de uzun bir hafta sonu için dinlenmeye geldim. Çok gerekli."
4,"Booz Allen Hamilton'ın kendi başına harika bir sosyal işbirliği platformu var. Çok havalı!"
4,"Şu anda Nikon D90 kullanıyorum ve seviyorum, ama Canon 40D/50D kadar değil. Video özelliği için D90'ı seçtim. Benim hatam."
2,"Canon 40D için iyi bir IR filtresi için önerilere ihtiyacım var... Var mı?"
0,"Ürünün daha önce 40 bedenini sipariş etmiştim rengi kalitesi mükemmeldi. Ama büyük olduğu için iade ettim ve 38 bedenini sipariş ettim rezalet yani böyle bir şey olamaz rengi soluk daha önce giyilmiş gibi bir ürün gönderilmiş. Aynı gömlek olduğuna inanamıyorum. Geri iade edeceğim oysaki bir beden büyüğünün kalitesi mükemmeldi. Sadece bedenleri farklıydı ama iki ürün arasında dağlar kadar fark vardı."
0,"Çok büyük ya en küçük bedeni bile aşırı oversize,iki renk almıştım ama aşırı beğenmediğim bi ürün oldu."
4,"Google'a bakmak her zaman iyi bir fikirdir. Mustang üzerinde çalıştığım şeyi babamla birlikte yaptım."
0,"Android'li bir telefonla oynadım. Kayar ekran beni korkutuyor, hemen kırarım o şeyi. Hala iPhone'umu tercih ederim."
0,"ABD Guantanamo Körfezi'nde askeri mahkemeleri yeniden başlatmayı planlıyor...Bu sefer yargılanacaklar AIG yöneticileri ve Chrysler borç sahipleri olacak."
0,"Kaşınıyorum ve perişanım!"
0,"Yani ne desem alacaksınız ama almayın yok olsa iyi kötü ben kullanırdım zayıf beden bunu giyemez"
4,"Nerdy Stanford insan biyolojisi videolarını seviyorum, okul özlemimi artırıyor."
4,"Danny Gokey'nin ""P.Y.T"" şarkısını dinliyorum. O çok muhteşem. Onu çok seviyorum :)"
0,"Uyuyamıyorum... dişim ağrıyor."
0,"Aynı eski şeyler. Bugün hiç planım yok, sanırım tekrar uyuyacağım."
2,"San Francisco'da Bay to Breakers'ı yapıyorum."
2,"San Francisco'ya yeni geldim."
2,"Bugün San Francisco'dayım. Herhangi bir öneriniz var mı?"
0,"Citi'nin gerçekten çok derin bir durumda olduğunu düşünmeye başladım. Bu çalkantıyı atlatabilecekler mi yoksa bir sonraki AIG mi olacaklar?"
0,"ShaunWoo AiG'yi kötülüyor"
0,"Ürün cok basit. Tam bedeninizi almanıza rağmen omuzları oturmuyor. Göndermek için gönderilmiş pazardan 5 tl'ye bile almayacağım bir ürün."
4,"Star Trek'i izlemeye gitmekte pişman olmayacaksın. Harikaydı!"
2,"Star Trek'i izlemeye gidiyorum."
4,"Her yerde böylesine bir mutsuzlukla karşılaşmak çok nadirdir ve dikkate değer bir deneyim olabilir."
4,"Modern şehirlerdeki yoğun yaşam temposu insanlara daha fazla tecrübe ve öğrenme fırsatı sunabilir."
4,"Şehir hayatında, farklı insanların deneyimleriyle kendimizi daha iyi anlayabilir ve geliştirebiliriz."
2,"Biraz sonra babamla birlikte Star Trek izlemeye gidiyorum."
0,"İnternet üzerinde can sıkıcı yeni bir trend: Michael Lewis ve Malcolm Gladwell'ı parçalayan insanlar. Kimse bunu okumak istemiyor."
2,"Bill Simmons Malcolm Gladwell ile sohbet ediyor."
4,"Malcolm Gladwell belki de yeni erkek arkadaşım."
0,"Vay be. Sadece ESPN'deki reklamlar bile beni deliye çevirecek."
4,"Twitter API'siyle oynamak eğlenceli geliyor. API koduyla sonuçlar üreten bir sınıf almam gerekebilir veya yeni bir arkadaş bulmalıyım."
2,"CURL ve Twitter API'siyle oynamak."
0,"Çünkü twitter api yavaş ve çoğu istemcisi iyi değil."
2,"Yahoo answers bazen bir çözüm olabiliyor."
4,"Nic ile scrapbooking yapıyorum."
0,"Kendi bedenimi aldım oversize falan değil arkadaşlar sadece boyu uzun, bol bi gömlek değil bence boy 167 kilo 50 beden 36/s iade edecek vaktim yoktu şehir dışına gidiyorum uzun süre o yüzden iade etmedim ama mağazada görsem asla almam"
4,"Varsayılan resmimi Nike basketbol topuna değiştirdim çünkü basketbol harika!"
2,"Nike, NBA Playoffs reklamlarını LeBron, Kobe, Carmelo ile domine ediyor mu?"
2,"Bir dahaki sefere kendimi Nike olarak adlandıracağım"
2,"Yeni blog yazısı: Nike SB Dunk Low Premium: 'Beyaz Sakız'"
2,"Bugün Nike işe alımlarına başladı."
4,"Nike'da çalışırken favori bir kelime vardı: SADECE YAP!"
4,"Bu arada, bu garip Nike reklamı beni tamamen etkiledi."
2,"Weka'ya bir app motoru arayüzü veriyorum, testler için kuş çarpmaları verilerini kullanıyorum."
2,"Lambda hesabını bana açıklayacak birine ihtiyacım var!"
4,"Ürün çok kaliteli ve çok güzeldi fakat kendi bedeninizden bir beden küçük almanızı öneririm. Ben 38 beden giyiyorum çok büyük geldi o yüzden bir beden küçüğünü getirtecem. 34 Bedeni olsa onu alırdım ."
0,"Bugün Bilgisayar Bilimleri Yüksek Lisans Alan Sınavı'na girdim. Lambda hesabından daha aptal hissettiren bir şey yok."
0,"Evetttttttttt, Yaz boyunca East Palo Alto'da yaşamak istememiştim. Sanırım sadece yaz için."
4,"Harika Stanford dersi. Herkese açık olması gerçekten yardımcı ve bilgilendirici! Başlamak için gerçekten yararlı ve bilgilendirici!"
2,"NVIDIA, Stanford'ın Bill Dally'yi Baş Bilim Adamı ve Araştırma Başkan Yardımcısı olarak atadı."
2,"Yeni blog yazısı: Harvard mı Stanford mı - Kim Kazanır?"
4,"Ahh her rengi alınmalık bir ürün haki rengini anneme bu rengi kendime aldım yaza uygun renklerini ayrı alıcam cok kaliteli 64 kilo 36 beden cook iyi oldu cok cabuk elime ulaştı tesekkurler"
0,"Lanet olsun Kuzey Kore."
0,"Kesinlikle zayıf olan insanların almaması gereken bir ürün 36 beden bile kayıp olarak baya büyük, kötü duruyor giyildiginde kumaşını da beğenemedim."
0,"Tam bir hayal kırıklığı. Reklam uğruna influencerlar tarafından abartılmış şişirilmiş bir balon bence bu gömlekler. kumaşı asla %70 pamuk değil. bu kumaşın pamuklu olduğunu iddia edenler kumaştan anlamıyorlar bence. kalıbı da şöyle iki şekilde anlatacam lisede kullanılan slimfitt beyaz gömlekleri yarasa kol yapmışlar, bir beden büyük kalıplara bir küçük bedenin etiketini koymuşlar gibi. Ya da regular fit baba gömleğine pens aytirmissiniz gibi. bir de bu gömleği beğenenlerin moda zevk ve kalitelerini bir sorgulamalari gerek bence."
0,"Neden Kuzey Kore'yi haritadan silip atmıyoruz artık?"
0,"Kuzey Kore, lütfen bu çamurluğa son verin. Artık Çin bile sizi sevmiyor."
0,"Sen Chrysler ve GM'den daha çok para yakıyor musun? Finansal tsunamiyi durdurun. 'Bailout' almak demek yardım almak demektir!"
0,"Böcekler ıspanağımı enfekte etti."
0,"Üstüm s beden oversize dursun diye 40 aldım 36 almışım gibi kollardan kastırıyor tavsiye etmiyorum."
0,"Dünyadaki her sivrisineği yakalayıp yavaş yavaş yakmak isteseydim. Bugün bana çok saldırdılar. Sivrisinekler böceklerin götüdür."
0,"Kiliseden döndüm ve böcekleri gerçekten nefret ediyorum."
4,"Vay canına ne kadar çok mcdonald's istiyorum.Acaba açık mıdır?"
0,"Tarih sınavı çalışıyorum ugh!"
0,"Revisyonu sevmiyorum, çok sıkıcı! Yarınki sınavıma tamamen hazırlıksızım.Durumlar pek iç açıcı değil..."
0,"Yarın yüksek fizik sınavım var, pek dört gözle beklemiyorum."
0,"Bugün banka tatili, ama işten çıktım şimdi. Sınav dönemi çok kötü."
0,"s beden istemem rağmen çok büyük geldi ve iade ettim tam bir aydır sürekli aramama rağmen ne bi ücret iadesi sağlandı ne de Ürün geri gönderildi"
0,"Dick Cheney'nin yalan dolu konuşması hakkında -Fred Kaplan Slate."
0,"Cumhuriyetçi parti bir avuç kürtaj karşıtı fanatikten ibaret, bu çöplükte sinek bile toplayamazlar."
0,"Twitter'ın bağlantılarının API'si mi bozuk? Bazı tweetler Twitter'a ulaşamadı..."
0,"Cidden aptalca olan Twitter API zaman aşımı çok ama çok sinir bozucu!"
4,"'Learning jQuery' kitabını gerçekten beğendim. http://bit.ly/pg0lT'ye de bir göz atmakta fayda var"
4,"Goodby Silverstein ajansının yeni sitesi! http://www.goodbysilverstein.com/ Harika!"
4,"Google i/o'da bedava G2 android aldım!"
0,"Sanırım G1'i emekliye ayırmam gerekiyor ve geliştirici G2'mi kullanmaya başlamalıyım."
4,"Bugün GoogleIO'da Philip'ın olmasından dolayı mutluyum."
4,"Laker'lar harika oynadı! Perşembe akşamı Laker'lar vs. ??? maçını sabırsızlıkla bekliyorum."
2,"Merhaba, viral pazarlama konusunda harika bir tavsiye kaynağı var mı?"
4,"Judd Apatow, yeni filmi pazarlamak için NBC.com'da sahte bir sitcom oluşturdu.Viral pazarlamanın en iyisi."
2,"Gece Müzesi'ni izliyorum."
4,"Gece müzesini çok sevdim!"
4,"Filmden geldim. Rachel ile yeni gece müzesini görmeye gittik. İyiydi."
2,"Yeni Gece Müzesi filmini izledim...Eh işteydi...7\10"
4,"Seni gece müzesi 2'yi görmeye götüreceğim, ne zaman istersen.Çok iyi görünüyor"
4,"Gece Müzesi'ni izlemiyorum. Gerçekten iyi oluyor."
4,"Gece müzesi, Wolverine ve atıştırmalıklar - mükemmel pazartesi!"
4,"Dün gece Gece Müzesi 2'yi izledim. Oldukça çılgın bir film. Özellikle oyuncu kadrosu harikaydı, bu yüzden kesinlikle değerdi. Robin Williams sonsuza dek!"
2,"Bugün Gece Müzesi: Swithsonian Savaşı'nı gördüm. İdare ederdi. Tipik bir (çocuklar için) Ben Stiller filmi."
0,"Gece Müzesi'ni bu gece izleyeceğim. Peki, o 4 yaşındaki çocuk ondan zevk alır umarım."
0,"GM'ye iki kez yerleştirilen İstimul planının, Amerikan halkının sırtında GM'yi ileriye taşıyacak olmasına rağmen, bu kaçınılmaz sona yol açtığını görmek üzücüdür."
0,"Bana tekrar GM'ye neden daha fazla para verdiğimizi söyleyin?? Bu parayı işsizleri destekleyen tüm programları kullanmalıyız."
0,"Evet ama eğer GM ölürse sadece daha fazla değer kazanacak hahaha."
0,"Time Warner kablosu yine Memorial Günü'nden bu yana üçüncü kez kapandı, kötü!"
0,"Daha hızlı internet için makul yıllık vergiler ödemeyi tercih ederim, Time Warner'dan yavaş bir bağlantı için sömürülmektense."
0,"HAYIRRRRR, DVR'ım tamamen öldü ve EA sunumunun yarısındaydım. Seni sevmiyorum Time Warner."
0,"Hay Time Warner Cable!!! Seninleyim sen değişik Toplamalı ekranımın bir $700 HD televizyon ve lanet olası HD kanallarım nadiren geliyor. Saçmalık!!"
0,"Time Warner'ın çok kötü müşteri hizmetleri var. Onları bir daha asla kullanmayacağım."
0,"Time Warner şeytan. İnternetin çıkması için en kötü zaman."
0,"Hayır internet lanet olsun Time Warner!"
0,"Time Warner gerçekten çalışmamak için en kötü zamanı seçiyor. Tek yapmak istediğim mtv.com'a ulaşmak, böylece Hills'i izleyebilirim."
0,"Ahh... aptal Time Warner'dan kurtuldum ve şimdi odadakiler yemek yaparken şekerleme yapıyorum. Pazartesi günü için oldukça iyi son."
0,"Time Warner'ın HD kanal dizisi kötü."
0,"Time Warner kablosu ne kötüsün. Modemlerin patlayabileceğini bilmiyordum."
2,"Rocawear Çin'e yöneliyor, 300 mağaza inşa ediyor."
2,"İklim odak noktası Pekin'e dönüyor: "Birleşmiş Milletler, ABD ve Avrupa hükümetleri Çin'in işbirliği yapması için çağrıda bulundu."
2,"Barrie Öğrencileri Çin Seyahatinden Döndü: Silver Spring lisesinin Çin'e yapılan sınıf gezisi hakkında."
2,"Üç Çin havacılık devi Tianjin Binhai Yeni Bölgesi'ni geliştiriyor, 22.9 milyar yuan yatırım yapıldı."
2,"GM CEO'su: Çin kilit ortak olmaya devam edecek"
2,"Şimdi GM aracı almanın zamanı mı?"
0,"Ameliyat sonrası toparlanıyor. Burada olsaydı keşke, üzgünüm."
4,"Hala bileğim ağrıyor. Bir göz atılması gerekiyor. Doktor/dişçi/korkunç yerleri hiç sevmiyorum. :( Şimdi Eagle Eye izleme zamanı. Katılmak isterseniz, mesaj atın!"
2,"Yarın dişçiye gidiyorum. Sabah iyi fırçalamam lazım."
0,"Dişçim çok iyi ama pahalı maalesef."
0,"Oğlum beni online araba bakarken buldu. Araba alışverişi yapmayı sevmiyorum. Dişçiye gitmeyi tercih ederim! İyi fiyata iyi bir araba satan var mı?"
2,"Major League Baseball 2K9 oynamaya başladı."
2,"Cardinals beyzbol Süper Bölgesi'ne ilerliyor. Cuma günü CS-Fullerton'a karşı."
2,"Sony kupon kodu.Yakında sona eriyor."
0,"Luke ve ben Safeway'den çıkarken durdurulduk ve cebimizi boşaltmamız ve gömleklerimizi kaldırmamız istendi. Ne kadar saçma değil mi?"
4,"Safeway bu gece çok rock n roll!"
2,"Safeway'e gitmeye hazırım. Yemek yemem gerekiyor."
2,"Jake Safeway'e gidiyor!"
2,"Bir Safeway buldum. Birkaç temel şey alıyorum."
0,"Safeway tuvaleti hala kötü kokuyor!"
0,"Elkhorn'daki Safeway'de, sanki ölü gibi hareket ediyorlar!"
2,"Film izlerken yemek yeme."
2,"Sashimi yiyorum."
2,"Ev yapımı yema yiyorum."
2,"Pasta yiyorum."
4,"Dwight Howard'ın vitamin suyu reklamını seviyorum. Şimdi keşke Nike'ta olsaydı da Adidas'ta değil."
0,"Nike Fabrikası'nda HİÇBİR ŞEY bulamadım. Banana Republic Outlet'e doğru!"
4,"Şu anda Nike'ımı seviyorum ve bunu sadece odada yerimde koşarak yaptım."
2,"Normal ifadeyle metni vurgulamak için Stormweight'den bir jQuery eklentisini çıkardım ve açık kaynaklı hale getirdim."
2,"php jquery hack'i neydi?"
2,"JQuery ile JavaScript ve CSS Geliştirmeye Başlayın."
4,"Doğru!!! Oraya ulaşacağız!! Yüksek beklentilerim var, Warren Buffet tarzı."
4,"HARİKA! Birileri uzun zaman önce ağaç diktiği için bugün birileri gölgede oturuyor."
4,"Warren Buffet, çalışarak değil, servete yol açan büyük bir fikre yatırım yaparak (bir süreliğine) Amerika Birleşik Devletleri'nin en zengin adamı oldu."
4,"Okul oluşturma planına göre, Notre Dame'ın NCAA 10'da 84 veya daha yüksek derecelendirmeye sahip 7 alıcısı olacak."
2,"All-Star Basketbol Klasiği salı günü en iyi yetenekleri öne çıkıyor: Chattanooga'nın Notre Dame Lisesi ev sahipliği yapacak."
4,"Kesinlikle garanti kapsamındadır ve deneyimlerime göre Amazon'un Kindle desteği harika! Kindle2'm hakkında onlarla iletişime geçmem gerekti."
0,"Time Warner Road Runner müşteri desteği burada kesinlikle berbat. Başka yüksek hızlı internet seçeneklerimin olmamasından nefret ediyorum. Nükleere geçmeye hazırım."
0,"Time Warner Kablolu Telefon temsilcileri çividen daha aptal! Kablo 10 dakika önce çalışıyordu, şimdi çalışmıyor!"
0,"Denedik ama Time Warner pek nazik değildi, bu yüzden bugün kayıt yaptık."
0,"Aman Tanrım - Time Warner internet kurulumumu hızlandırdı.Bugün yerine sonraki cumartesiye erteledi.İnternetsiz bir hafta daha!"
0,"Time Warner'da bu kadar uzun bir sıra hiç görmedim, of."
0,"Time warner sıramın gelmesini sabırsızlıkla bekliyorum. Tüm öğleden sonralarını içerde geçirmek çok kötü."
2,"Adam Roland Garros sırasında Roger Federer'ı taciz etti."
0,"Naive Bayes metin sınıflandırması için EM kullanmak. Gerçekten sinir bozucu..."
4,"Bugün Stanford Üniversitesi'ne gittik. Bir tur attık. Beni kolej zamanlarıma geri döndürdü. Tüm çocuklarımızın buraya gitmesine karar verdik."
2,"Stanford CS prof. / Google mentorü Rajeev Motwani'nin ölümüyle ilgili soruşturma devam ediyor."
4,"Yatmaya gidiyorum. Başarılı bir hafta sonuydu. Stanford, işte geliyorum."
0,"Araba garanti araması ile rahatsız ediliyorsanız, numaranızı değiştirmek bunu düzeltemez."
0,"Onlar her numarayı ararlar maalesef."
0,"United Blood Services'ı Google Voice ile engelledim. Onlar Araba Garanti adamlarından daha fazla ararlar."
0,"Bu tam bir başarısızlık."
0,"Gerçekten AT&T telefon hizmetini istemiyorum.Sinyal konusunda kötüler!"
0,"Küçük muhabbeti keselim diyorum: AT&T'nin yeni sloganı: Defolup gidin, paramızı verin."
0,"iPhone için AT&T'nin orta sözleşme yükseltme fiyatından sinirlendim. $299 olduğunu düşündüğüm bir şey için $499 ödemem."
0,"Safari 4 hızlı. Benim kötü AT&T bağlantımdan bile hızlı."
0,"AT&T topu düşürdü ve yeni iPhone 3.0 ile hiçbir şeyi desteklemiyor...TAM BİR BAŞARISIZLIK!!!"
0,"Telefonu aldığına sevindim! Yine de, seni kınıyorum, AT&T."
2,"Google Wave Geliştirici Kum Havuzu Hesabı İsteği bu linkte: http://bit.ly/2NYlc"
0,"Sözler ucuzdur. Ben Google ile devam edeceğim."
0,"Nasıl ya, özetleme ve aramalarda hala bulunabiliyorsa tweet'leri silmenin amacı nedir? Lütfen Twitter'ı düzeltin. Teşekkürler, görüşürüz."
2,"Google profilleri artık aramalarda gözükmüyor mu? Artık onları göremiyorum."
4,"Ben de Google Translate'i seviyorum! İyi günler dostum!"
4,"Yeni Kindle2'mde okuma yapıyorum!"
4,"Kindle2'im geldi ve onu SEVDİM!"
4,"Yeni Kindle2'yi çok seviyorum. Ona Kendra adını verdim, merak ediyorsanız. "Yemek kitabı" tek araçtır çünkü size tüm püf noktalarını anlatır! En iyi hediye!"
2,"Twitter'da aprs uygulamaları var mı?"
2,"Twitter'da takip etmeniz gereken 45 uzman - http://is.gd/sMbZ"
4,"Obama oldukça iyi bir komedyen! CNN'deki yemek konuşmasını izleyin. Çok komik şakaları var."
4,"Bu çocuğu seviyorum. Barack Obama komik tarafını gösteriyor. Harika konuşma!"
4,"Obama'nın dünkü konuşması oldukça harikaydı!"
4,"Obama, Araplar arasında ABD'den daha popüler'"
4,"Obama şakaları var!! haha dünkü akşam yemeği konuşmasının birazını izleyebildim...Başkana aşık oldum."
0,"Lebron James bir araba kazası geçirmiş gibi görünüyor. Akşam haberlerinde duydum. Wow inanamıyorum.İyi olacak mı? "
4,"Bana mı öyle geliyor yoksa bu play-off'ların en iyisi mi, ah evet Lebron ve Melo finalde!"
